Station ID,Functional Class,Lat/Long,AADT_2018,Truck%_2018,AADT_2017,Truck%_2017,AADT_2016,Truck%_2016,AADT_2015,Truck%_2015,AADT_2014,Truck%_2014,AADT_2013,Truck%_2013,AADT_2012,Truck%_2012,AADT_2011,Truck%_2011,AADT_2010,Truck%_2010,AADT_2009,Truck%_2009
001-0183,4R : Rural Minor Arterial,"31.831560, -82.086470",970,18.7,990,18.2,940,18.2,880,18.1,850,19.2,870,16.4,850,16.5,830,16.1,870,17.1,830,16.7
001-0185,5R : Rural Major Collector,"31.602850, -82.308160",410,11.7,450,16,480,17.7,490,17.8,480,17.7,520,15,480,13.3,520,13.7,640,16.4,650,18.8
003-0132,3R : Rural Principal Arterial - Other,"31.307110, -82.901540",4760,22.9,4660,23.5,4600,23.5,4550,23.7,4360,24.5,4360,23.6,4410,24.5,4470,24,4650,22.9,4630,22.6
003-0138,3R : Rural Principal Arterial - Other,"31.295800, -82.839800",4520,23.1,4470,23.6,4390,23.7,4310,21.7,4170,24.4,4110,24.7,4160,25,4220,24.9,4340,24,4280,23.1
005-0125,3R : Rural Principal Arterial - Other,"31.608610, -82.461860",5380,16.4,5300,17,5140,17.3,4840,19,4620,19.7,4480,19.6,4670,19.5,4590,17.5,4670,16.6,4530,14.7
009-0156,4R : Rural Minor Arterial,"33.086990, -83.172170",8030,7.4,8410,6.7,9190,8.7,9070,9.2,8710,8.6,8610,8.1,8630,7.9,8760,8.4,8900,8.7,9000,8.3
011-0103,3R : Rural Principal Arterial - Other,"34.279330, -83.465300",13900,7.9,13700,7.4,12700,7.4,12000,7.4,11300,7.4,10900,7.1,10900,7.5,11000,7.3,11300,7.3,11200,7.5
013-0036,4U : Urban Minor Arterial,"33.977490, -83.653300",8190,5.9,8180,6.1,8300,5.8,8110,5.5,7860,5.2,8090,4.2,8100,4.5,8100,4.5,8440,4.8,8440,4.8
015-0118,3U : Urban Principal Arterial - Other,"34.204360, -84.810520",,,45200,,44900,4.9,43600,4.9,42200,4.9,41500,5.7,41600,5.8,41300,6.1,43300,6.1,43300,6.2
015-0178,3U : Urban Principal Arterial - Other,"34.214850, -84.794150",10300,8.5,10600,9.4,10800,9.1,9870,9.1,9480,9,9370,8.3,9490,8,9670,8,9630,8.7,9630,8.8
015-0276,1U : Urban Principal Arterial - Interstate,"34.218710, -84.752240",78700,25.6,78600,22.5,75200,21.4,73600,24.5,70700,24.5,66600,17.9,66700,23.9,65700,25.6,68000,24.8,66000,24.8
017-0143,3U : Urban Principal Arterial - Other,"31.728930, -83.247160",3480,4.7,3410,6.7,3470,6.6,3420,6.3,3410,6.4,3510,5.7,3470,6.3,3540,5.3,3760,6,3820,5.3
021-0116,4R : Rural Minor Arterial,"32.806320, -83.840930",4080,7.1,4110,7.1,4310,6.8,4200,6.5,4240,6.7,4360,6.6,4550,6.5,4680,7.4,4820,9.1,4900,8.6
021-0132,3U : Urban Principal Arterial - Other,"32.815970, -83.702780",19900,4.1,20300,4.3,20800,4.1,20900,4.1,20800,3.8,21300,3,22100,3.5,23100,3.8,24300,3.9,25400,3.9
021-0158,3U : Urban Principal Arterial - Other,"32.736130, -83.655660",28100,6,28000,7.5,27600,7,26500,7,25400,7.2,25600,7,26400,6.7,27300,6.7,27900,6.8,28000,6.9
021-0198,4U : Urban Minor Arterial,"32.820500, -83.691700",34800,,35100,,34900,,,,32900,,,,32900,,33500,,34300,,34600,
021-0258,3U : Urban Principal Arterial - Other,"32.693550, -83.638230",23800,5.3,23600,6.1,23700,6.1,22700,5.8,21900,5.4,22200,5.1,22300,5.2,22800,5.7,22900,7.1,23300,6.2
021-0267,4U : Urban Minor Arterial,"32.799530, -83.664810",15100,3.7,15600,3.4,16200,3.5,15900,3.5,15600,3.8,16000,2.8,16500,2.9,17000,2.9,17200,3.1,18100,
021-0334,1U : Urban Principal Arterial - Interstate,"32.781940, -83.678070",38400,8.9,37800,10.1,37500,8.9,35900,8.9,34100,9.9,33100,8.2,32400,8.2,31500,8.4,32600,8.9,31700,9.5
021-0349,1U : Urban Principal Arterial - Interstate,"32.846220, -83.642520",79200,7.8,79100,7.8,78300,3.5,76600,7.3,71400,7.3,70700,7.1,71800,6.1,74000,6.8,76000,6.7,76400,7.2
021-0356,1U : Urban Principal Arterial - Interstate,"32.892390, -83.677960",65400,11.7,66400,11.5,64900,8.5,64000,8.5,80300,,,,61900,10.6,61900,10.6,62200,10.7,56600,
