"","St_Name","X","Y"
"1","118052",-84.582613,33.725821
"2","120068",-84.506485,33.706005
"3","129012",-84.30834,33.704363
"4","134052",-84.135234,33.705515
"5","169041",-84.245115,33.666336
"6","182014",-84.548837,33.587319
"7","197100",-84.605057,33.549064
"8","210054",-84.424331,33.911532
"9","211065",-84.469175,33.585073
"10","212171",-84.354724,33.571945
"11","212236",-84.360042,33.506028
"12","212415",-84.418769,33.534351
"13","212460",-84.339496,33.448938
"14","212711",-84.325288,33.644332
"15","902327",-84.193778,33.819005
"16","902562",-84.271889,33.834237
"17","902723",-84.319267,34.040324
"18","903186",-84.253526,34.064854
"19","906369",-84.387414,33.789669
"20","906388",-84.665416,33.523399
"21","906647",-84.446198,33.640553
"22","906827",-84.358235,33.845388
"23","907766",-84.357275,33.94495
"24","907775",-84.369313,33.823501
"25","907842",-84.387595,33.758082
"26","907843",-84.395741,33.748696
"27","907844",-84.448612,33.650282
"28","907845",-84.351069,33.931671
"29","907906",-84.445568,33.753247
"30","907907",-84.469824,33.754517
"31","907913",-84.387258,33.771472
"32","907960",-84.428873,33.772159
"33","908047",-84.344268,33.92113
"34","908186",-84.339245,33.860329
"35","908301",-84.42503,33.7173
"36","908374",-84.386342,33.781247
"37","908435",-84.397215,33.756179
"38","908436",-84.375675,33.749951
"39","908437",-84.352762,33.757451
"40","908438",-84.281487,33.775554
"41","908475",-84.295417,33.774699
"42","908476",-84.340825,33.761803
"43","908515",-84.228906,33.769856
"44","908566",-84.312937,33.765241
"45","908603",-84.305556,33.887929
"46","908618",-84.385915,33.750161
"47","908628",-84.440542,33.677424
"48","908629",-84.428768,33.70088
"49","908634",-84.251607,33.772647
"50","908639",-84.367716,33.847944
"51","908704",-84.413653,33.736564
"52","908845",-84.28061,33.902787
"53","908872",-84.35189,33.910757
"54","908911",-84.387504,33.766111
"55","908958",-84.403902,33.756613
"56","908963",-84.41723,33.756478
"57","908976",-84.39156,33.753899
