route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
6265,c_15299_b_16105_d_31,t_293556_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293557_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293566_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293559_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293560_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293561_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293565_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293564_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293563_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293562_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293555_b_16105_tn_1,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293558_b_16105_tn_0,,I-985 Park and Ride,0,,p_92277,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293549_b_16105_tn_2,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293553_b_16105_tn_3,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293553_b_16105_tn_2,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293553_b_16105_tn_1,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293552_b_16105_tn_0,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293551_b_16105_tn_0,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293550_b_16105_tn_3,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293550_b_16105_tn_2,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293550_b_16105_tn_1,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6265,c_15299_b_16105_d_31,t_293549_b_16105_tn_1,,Downtown Atlanta,1,,p_92278,,,,,,,,,,
6266,c_15299_b_16105_d_31,t_405189_b_16105_tn_1,,Indian Trail Park and Ride,0,,p_92279,,,,,,,,,,
6266,c_15299_b_16105_d_31,t_405188_b_16105_tn_0,,Indian Trail Park and Ride,0,,p_92279,,,,,,,,,,
6266,c_15299_b_16105_d_31,t_405187_b_16105_tn_3,,Indian Trail Park and Ride,0,,p_92279,,,,,,,,,,
